ukprn,he provider,academic year,surplus_vs_income,staff_vs_income,unrestricted_vs_income,ext_borrow_vs_income,net_assets_vs_expend,current_assets_vs_liability,ops_cash_vs_income,net_liquidity_days,debt_service_ratio,avg_salary,avg_remuneration,academic_salary,ps_staff_salary,uk_vs_total_fees,total_fees_vs_income,fbg_vs_income,research_vs_income,donate_vs_income,reside_cater_vs_income,total_income,tuition_fees,finance_vs_expend,depreciate_amort_vs_expend,staff_vs_expend,capital_vs_expend,total_expenditure,vc_bonus_vs_salary,vc_avg_salary,vc_avg_remunerate,vc_median_salary,vc_median_remunerate,provider region,provider country,russell group filter,pre 92 filter,post 92 filter
10000975.0,Buckinghamshire New University,2020/21,0.045,0.214,0.144,0.264,55.089,2.791,0.118,111.267,5.157,37.908,49.934,38.779,37.126,0.938,0.901,0.054,0.002,0.0,0.023,151458.0,136519.0,0.019,0.042,0.224,0.017,144658.0,0.0,5.25,4.826,5.9,5.8,South East,England,Non-member,Non-member,Member
10000975.0,Buckinghamshire New University,2021/22,0.073,0.213,0.448,0.235,176.169,2.413,0.143,144.882,8.756,40.181,52.616,41.745,38.793,0.907,0.897,0.039,0.002,0.0,0.038,169010.0,151603.0,0.016,0.038,0.23,0.04,156737.0,0.0,5.201,4.827,5.9,6.1,South East,England,Non-member,Non-member,Member
10001143.0,Canterbury Christ Church University,2016/17,0.029,0.563,0.709,0.335,267.297,1.867,0.074,111.229,2.627,37.276,46.374,,,0.934,0.754,0.082,0.004,0.0,0.093,134054.0,101110.0,0.013,0.05,0.579,0.112,130226.0,0.0,6.975,5.714,0.0,0.0,South East,England,Non-member,Non-member,Member
10001143.0,Canterbury Christ Church University,2017/18,-0.009,0.576,0.725,0.324,263.332,1.548,0.116,110.376,3.926,37.814,47.57,52.741,27.068,0.928,0.764,0.075,0.016,0.0,0.091,130874.0,100003.0,0.012,0.061,0.571,0.132,131994.0,0.0,7.008,5.697,8.1,8.3,South East,England,Non-member,Non-member,Member
10001143.0,Canterbury Christ Church University,2018/19,-0.034,0.581,0.721,0.315,255.635,1.062,0.069,58.447,2.158,38.664,48.577,53.995,27.65,0.916,0.764,0.073,0.012,0.0,0.089,126078.0,96318.0,0.014,0.06,0.562,0.247,130314.0,0.0,6.854,5.579,8.0,8.1,South East,England,Non-member,Non-member,Member
10001143.0,Canterbury Christ Church University,2019/20,-0.058,0.617,0.341,0.651,118.392,0.825,0.067,87.646,2.108,36.986,48.196,53.046,26.216,0.913,0.781,0.085,0.014,0.0,0.064,119688.0,93485.0,0.012,0.062,0.583,0.252,126643.0,0.0,7.165,5.602,7.8,7.9,South East,England,Non-member,Non-member,Member
10001143.0,Canterbury Christ Church University,2020/21,0.072,0.488,0.322,0.469,127.829,1.096,0.104,83.915,4.181,39.486,50.17,55.534,29.347,0.916,0.685,0.21,0.014,0.0,0.043,152126.0,104148.0,0.016,0.057,0.526,0.076,141196.0,0.0,5.977,4.804,7.8,8.0,South East,England,Non-member,Non-member,Member
10001143.0,Canterbury Christ Church University,2021/22,-0.029,0.426,0.67,0.3,238.791,1.057,0.112,68.324,5.244,39.298,50.711,54.217,29.558,0.94,0.813,0.075,0.01,0.0,0.042,185834.0,151165.0,0.013,0.044,0.414,0.042,191206.0,0.0,6.896,5.64,7.9,8.1,South East,England,Non-member,Non-member,Member
10001282.0,University of Northumbria at Newcastle,2016/17,0.019,0.553,0.53,0.27,197.319,1.03,0.102,79.4,3.85,41.899,54.771,,,0.85,0.74,0.086,0.024,0.001,0.061,248291.0,183622.0,0.028,0.068,0.564,0.143,243563.0,0.073,5.871,5.642,0.0,0.0,North East,England,Non-member,Non-member,Member
10001282.0,University of Northumbria at Newcastle,2017/18,0.027,0.554,0.71,0.249,238.505,1.075,0.112,84.606,4.394,43.033,55.051,52.401,34.084,0.843,0.747,0.083,0.026,0.001,0.06,255500.0,190762.0,0.025,0.076,0.57,0.105,248602.0,0.08,5.786,5.649,7.1,7.8,North East,England,Non-member,Non-member,Member
